TICKER,EPS,PER,PBV,ROE,ROA,DER,Probabilitas_Layak
JPFA,0.36496163682864446,6784.713104414856,1450.8894949797693,0.21384684549677807,0.00010686470294558162,1001.0989559918079,0.9674999999999998
BRPT,0.297024,11009.211376858435,3032.779992679283,0.27547658854604634,9.597237252969194e-05,1870.3738511915951,0.8925
TLKM,0.24690086816071066,14094.72565213836,2289.993822116822,0.1624716847020998,8.499473517770077e-05,911.5499843892198,0.8506904761904762
ASII,0.9932065217391305,6421.58489740082,887.7894337235052,0.1382508287140833,7.924259804559233e-05,744.6529029063449,0.8022499999999999
ADMR,0.10653131115459882,14251.396923076923,2161.408100296013,0.15166289395786176,9.008729469198627e-05,683.510360438795,0.7586666666666665
ANTM,0.3295880149812734,9557.386363636364,2068.155737704918,0.21639344262295082,0.00015077098800685322,435.27322404371586,0.6845
INCO,0.11888045540796964,43531.125299281724,1175.5533524429406,0.027004892346817817,2.2397797758432687e-05,205.67253604603548,0.6782738095238093
EMTK,0.14473041211923765,7496.696679797412,1247.5538948511924,0.16641381506246372,0.00014620701003784762,138.20681388248957,0.6512261904761903
UNVR,0.20028833551769332,12981.285172097892,22165.36312849162,1.7074860335195532,0.0003817255332966978,3473.0726256983244,0.6469999999999999
BUMI,0.005426293962406421,67449.34987593051,2814.6965994284055,0.04173052230460175,2.8567377897497697e-05,460.7753800273371,0.6081071428571428
BBCA,0.46799186991869923,16530.906832513938,3378.094168015677,0.20435020306154328,3.6275490301727537e-05,4633.285762971799,0.5631011904761906
