TICKER,EPS,PER,PBV,ROE,ROA,DER,Probabilitas_Layak,Status
JPFA,0.36496163682864446,6784.713104414856,1450.8894949797693,0.21384684549677807,0.00010686470294558162,1001.0989559918079,0.9674999999999998,✅ Layak
BRPT,0.297024,11009.211376858435,3032.779992679283,0.27547658854604634,9.597237252969194e-05,1870.3738511915951,0.8925,✅ Layak
TLKM,0.24690086816071066,14094.72565213836,2289.993822116822,0.1624716847020998,8.499473517770077e-05,911.5499843892198,0.8506904761904762,✅ Layak
ASII,0.9932065217391305,6421.58489740082,887.7894337235052,0.1382508287140833,7.924259804559233e-05,744.6529029063449,0.8022499999999999,✅ Layak
ADMR,0.10653131115459882,14251.396923076923,2161.408100296013,0.15166289395786176,9.008729469198627e-05,683.510360438795,0.7586666666666665,✅ Layak
ANTM,0.3295880149812734,9557.386363636364,2068.155737704918,0.21639344262295082,0.00015077098800685322,435.27322404371586,0.6845,✅ Layak
INCO,0.11888045540796964,43531.125299281724,1175.5533524429406,0.027004892346817817,2.2397797758432687e-05,205.67253604603548,0.6782738095238093,✅ Layak
EMTK,0.14473041211923765,7496.696679797412,1247.5538948511924,0.16641381506246372,0.00014620701003784762,138.20681388248957,0.6512261904761903,✅ Layak
UNVR,0.20028833551769332,12981.285172097892,22165.36312849162,1.7074860335195532,0.0003817255332966978,3473.0726256983244,0.6469999999999999,✅ Layak
BUMI,0.005426293962406421,67449.34987593051,2814.6965994284055,0.04173052230460175,2.8567377897497697e-05,460.7753800273371,0.6081071428571428,✅ Layak
BBCA,0.46799186991869923,16530.906832513938,3378.094168015677,0.20435020306154328,3.6275490301727537e-05,4633.285762971799,0.5631011904761906,✅ Layak
MDKA,10.870453616673478,209.74285714285713,1140.83919515786,5.439227875020448,0.0027874418409691076,951.3332242761328,0.4334702380952382,❌ Tidak Layak
PTBA,0.2568576388888889,8993.308550185873,1176.6016713091922,0.13083079099792191,6.737709770703828e-05,941.7694654463456,0.40201190476190474,❌ Tidak Layak
AMRT,0.08571772639691715,23040.74178139927,4230.614455966569,0.18361450755816955,8.358580520914066e-05,1196.718774183563,0.3559047619047619,❌ Tidak Layak
INDF,1.771753986332574,3823.89431730522,494.7353100178816,0.12937996423670312,7.136369057995614e-05,812.9662743793405,0.35254761904761905,❌ Tidak Layak
ICBP,0.9224699828473414,8889.178133134994,1297.612746495121,0.1459766839026641,7.93543056129375e-05,839.5559355617985,0.34,❌ Tidak Layak
AADI,1.7961489088575098,3883.308319039451,890.4206679558192,0.22929435285634692,0.00014665283149388423,563.518075448199,0.32066666666666666,❌ Tidak Layak
UNTR,4.0689008042895445,7000.630236542135,1030.1792303366428,0.14715521253490538,8.54382814391146e-05,722.3568879925535,0.30627777777777776,❌ Tidak Layak
CPIN,0.34414634146341466,13104.890148830615,2165.7930953705595,0.16526602442095398,0.00012307558114178552,342.80108927996247,0.23433333333333334,❌ Tidak Layak
BBNI,0.5391689008042896,7459.962905872408,850.7891844685519,0.11404737465903743,1.4765189364599815e-05,6724.065578232836,0.20605952380952375,❌ Tidak Layak
KLBF,0.07998290963469344,15065.718482905982,2280.9676897569657,0.15140118888754095,0.00012195836997947817,241.45739819644953,0.18416666666666665,❌ Tidak Layak
BMRI,0.6573020465016608,5229.909169301992,979.939059321568,0.187372099131954,2.1677430115323674e-05,7643.649091942017,0.17871428571428571,❌ Tidak Layak
MBMA,0.015333333333333332,37173.913043478264,1568.0480908836191,0.042181410631957,2.6515090865423102e-05,590.8199393769581,0.1545833333333333,❌ Tidak Layak
BBRI,0.37695961995249405,9119.35872715816,1574.3205066764167,0.1726350014050843,2.6710476610800885e-05,5452.422032930342,0.13120238095238096,❌ Tidak Layak
MEDC,0.07442322991249005,18072.314270443614,856.8789437672639,0.04741390233394998,1.3381107678224054e-05,2543.3465953726463,0.1066845238095238,❌ Tidak Layak
ADRO,0.27461721674038786,6280.4510965184,605.8556737503885,0.09646690411875791,7.081066853834005e-05,362.3216121243994,0.09591666666666665,❌ Tidak Layak
GOTO,-0.0012609768792921066,-50754.30093209055,2655.090554471998,-0.052312621900250766,-3.28248612264522e-05,593.6890498746169,0.08979166666666666,❌ Tidak Layak
PGAS,0.23560231023102313,8106.881456837681,767.5082472688692,0.09467367339157536,5.480543160117077e-05,727.4505578303466,0.08408333333333333,❌ Tidak Layak
INKP,1.3656307129798904,6224.230254350736,406.3253749082392,0.06528122487503059,3.618327044451656e-05,804.1738036145,0.034499999999999996,❌ Tidak Layak
PGEO,0.054232424677187946,19738.560582010585,1308.9016841120404,0.06631191158411788,4.4701986754966885e-05,483.42202210397056,0.025416666666666664,❌ Tidak Layak
